
score_id,score,created_at,updated_at,diff_id,lang_id,user_id,accuracy,typing_count
86,2771,2025-04-04 07:58:22.227654+00,2025-04-04 07:58:22.227668+00,2,1,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200,0.93,298
87,2022,2025-04-04 07:58:37.263681+00,2025-04-04 07:58:37.263694+00,2,1,575e0431-1085-4d49-9191-86fd4695b554,0.73,277
88,2463,2025-04-04 08:00:39.073971+00,2025-04-04 08:00:39.073986+00,2,1,604a9905-049d-4602-9495-86fa730795bf,0.94,262
89,2295,2025-04-04 08:01:18.512259+00,2025-04-04 08:01:18.512269+00,2,1,eb06d3ea-4a70-462c-9f56-d5e1979eb96f,0.9,255
90,4361,2025-04-04 09:27:52.714948+00,2025-04-04 09:27:52.714963+00,2,1,8c011ea6-b400-49f2-9db5-2c8ed2b5c3d2,0.92,474
91,4136,2025-04-04 09:35:13.717807+00,2025-04-04 09:35:13.717817+00,2,1,5f19c80d-8883-42f3-9257-f9f899f703d9,0.88,470
92,3328,2025-04-04 09:36:05.324868+00,2025-04-04 09:36:05.324882+00,2,1,683c0b43-1d2d-4e5a-b3ee-00de940a021c,0.83,401
93,1877,2025-04-04 15:06:29.02655+00,2025-04-04 15:06:29.026565+00,2,1,60fc5c6a-9824-46e9-8f5d-a9dd2b994dde,0.68,276
94,2854,2025-04-07 00:04:02.975053+00,2025-04-07 00:04:02.975073+00,2,1,78d9548f-bbcf-4129-a8a7-e0a841a295b3,0.87,328
95,3089,2025-04-07 00:05:45.275153+00,2025-04-07 00:05:45.275164+00,3,1,29a91abd-7963-46c8-96ff-3a074cf2d6f5,0.79,391
96,2862,2025-04-07 00:16:27.370434+00,2025-04-07 00:16:27.370443+00,3,1,78d9548f-bbcf-4129-a8a7-e0a841a295b3,0.87,329
97,3689,2025-04-07 01:10:44.210325+00,2025-04-07 01:10:44.210339+00,3,1,9f27d136-09de-407f-b405-7120b2d55daa,0.85,434
98,2430,2025-04-07 01:11:35.146103+00,2025-04-07 01:11:35.146114+00,3,1,7b341d92-c6ef-4d5d-bf17-6551f9842b9f,0.81,300
99,2981,2025-04-07 01:12:46.165446+00,2025-04-07 01:12:46.165455+00,3,1,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200,0.92,324
100,3646,2025-04-07 01:13:58.972664+00,2025-04-07 01:13:58.972674+00,3,1,9f27d136-09de-407f-b405-7120b2d55daa,0.84,434
101,3006,2025-04-07 01:16:33.326617+00,2025-04-07 01:16:33.326627+00,3,1,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200,0.9,334
102,3542,2025-04-07 01:55:57.759193+00,2025-04-07 01:55:57.759202+00,3,1,522f3d6d-e633-426b-bf51-b50dee27ec96,0.89,398
103,1939,2025-04-07 01:56:53.19353+00,2025-04-07 01:56:53.193541+00,3,1,327e4006-267d-40b0-88bb-2c4e84cefcad,0.69,281
104,3411,2025-04-07 01:57:43.543477+00,2025-04-07 01:57:43.543487+00,3,1,318b4c0b-52f5-43c0-ad13-b41e1baf03c9,0.82,416
105,3753,2025-04-07 01:59:16.200335+00,2025-04-07 01:59:16.200348+00,3,1,683c0b43-1d2d-4e5a-b3ee-00de940a021c,0.9,417
106,3980,2025-04-07 01:59:17.479853+00,2025-04-07 01:59:17.479862+00,3,1,522f3d6d-e633-426b-bf51-b50dee27ec96,0.95,419
107,1457,2025-04-07 02:00:04.354132+00,2025-04-07 02:00:04.354142+00,3,1,327e4006-267d-40b0-88bb-2c4e84cefcad,0.62,235
108,1715,2025-04-07 02:06:03.445187+00,2025-04-07 02:06:03.445201+00,3,1,327e4006-267d-40b0-88bb-2c4e84cefcad,0.67,256
109,3036,2025-04-07 02:09:49.451933+00,2025-04-07 02:09:49.451943+00,3,1,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200,0.92,330
110,4428,2025-04-07 02:09:57.926273+00,2025-04-07 02:09:57.926282+00,3,1,5f19c80d-8883-42f3-9257-f9f899f703d9,0.9,492
111,2737,2025-04-07 03:29:27.831892+00,2025-04-07 03:29:27.831902+00,3,1,575e0431-1085-4d49-9191-86fd4695b554,0.88,311
112,3904,2025-04-07 03:36:32.321001+00,2025-04-07 03:36:32.321012+00,3,1,683c0b43-1d2d-4e5a-b3ee-00de940a021c,0.91,429
113,4036,2025-04-07 03:36:36.591571+00,2025-04-07 03:36:36.591583+00,3,1,522f3d6d-e633-426b-bf51-b50dee27ec96,0.93,434
114,3638,2025-04-07 03:37:27.584721+00,2025-04-07 03:37:27.584731+00,3,1,6bdcd97d-6502-462a-84f1-b5d3afefa313,0.96,379
115,3725,2025-04-07 03:41:08.627742+00,2025-04-07 03:41:08.627753+00,3,1,6bdcd97d-6502-462a-84f1-b5d3afefa313,0.96,388
116,3486,2025-04-07 04:03:05.919297+00,2025-04-07 04:03:05.919306+00,3,1,29a91abd-7963-46c8-96ff-3a074cf2d6f5,0.84,415
117,3354,2025-04-07 04:56:50.106353+00,2025-04-07 04:56:50.106377+00,3,1,ff7cd6c3-bd30-42e3-987e-3fafeaea72e9,0.95,353
118,3410,2025-04-07 05:00:07.734019+00,2025-04-07 05:00:07.734029+00,3,1,ff7cd6c3-bd30-42e3-987e-3fafeaea72e9,0.95,359
119,2617,2025-04-07 05:03:14.364854+00,2025-04-07 05:03:14.364864+00,3,1,ff7cd6c3-bd30-42e3-987e-3fafeaea72e9,0.89,294
120,3354,2025-04-07 05:16:29.899424+00,2025-04-07 05:16:29.899438+00,3,1,29a91abd-7963-46c8-96ff-3a074cf2d6f5,0.82,409
121,3128,2025-04-07 05:20:11.135541+00,2025-04-07 05:20:11.135556+00,3,1,29a91abd-7963-46c8-96ff-3a074cf2d6f5,0.78,401
122,1934,2025-04-07 05:40:48.389931+00,2025-04-07 05:40:48.38994+00,3,1,eb06d3ea-4a70-462c-9f56-d5e1979eb96f,0.78,248
123,2390,2025-04-07 07:18:46.055965+00,2025-04-07 07:18:46.055974+00,3,1,ed7db178-e6d4-4007-8bbe-cd6781641ae6,0.83,288
124,2365,2025-04-07 07:22:17.17397+00,2025-04-07 07:22:17.173984+00,3,1,ed7db178-e6d4-4007-8bbe-cd6781641ae6,0.81,292
125,1965,2025-04-07 07:28:15.888175+00,2025-04-07 07:28:15.888187+00,3,1,327e4006-267d-40b0-88bb-2c4e84cefcad,0.68,289
126,2200,2025-04-07 07:28:54.787714+00,2025-04-07 07:28:54.787723+00,3,1,ed7db178-e6d4-4007-8bbe-cd6781641ae6,0.78,282
127,2793,2025-04-07 07:32:09.288543+00,2025-04-07 07:32:09.288554+00,3,1,ed7db178-e6d4-4007-8bbe-cd6781641ae6,0.87,321
128,2172,2025-04-07 08:43:49.118571+00,2025-04-07 08:43:49.11858+00,3,1,604a9905-049d-4602-9495-86fa730795bf,0.89,244
129,4578,2025-04-08 00:15:33.959745+00,2025-04-08 00:15:33.959757+00,3,1,8c011ea6-b400-49f2-9db5-2c8ed2b5c3d2,0.94,487
130,2375,2025-04-08 00:20:37.058994+00,2025-04-08 00:20:37.059004+00,3,1,604a9905-049d-4602-9495-86fa730795bf,0.91,261
131,3798,2025-04-08 00:23:31.495416+00,2025-04-08 00:23:31.495426+00,3,1,9f27d136-09de-407f-b405-7120b2d55daa,0.9,422
132,2438,2025-04-08 00:24:49.076727+00,2025-04-08 00:24:49.076738+00,3,1,327e4006-267d-40b0-88bb-2c4e84cefcad,0.75,325
133,2608,2025-04-08 01:28:26.43444+00,2025-04-08 01:28:26.434451+00,3,1,327e4006-267d-40b0-88bb-2c4e84cefcad,0.81,322
134,2138,2025-04-08 03:03:29.007507+00,2025-04-08 03:03:29.007521+00,3,1,327e4006-267d-40b0-88bb-2c4e84cefcad,0.75,285
135,3618,2025-04-08 04:04:23.068875+00,2025-04-08 04:04:23.068885+00,3,1,ff7cd6c3-bd30-42e3-987e-3fafeaea72e9,0.97,373
136,3906,2025-04-08 04:11:43.965711+00,2025-04-08 04:11:43.965721+00,3,1,683c0b43-1d2d-4e5a-b3ee-00de940a021c,0.9,434
137,2990,2025-04-08 04:25:46.353917+00,2025-04-08 04:25:46.353929+00,3,1,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200,0.92,325
138,3647,2025-04-08 04:39:00.475548+00,2025-04-08 04:39:00.475558+00,3,1,ff7cd6c3-bd30-42e3-987e-3fafeaea72e9,0.97,376
139,3676,2025-04-08 05:33:34.095314+00,2025-04-08 05:33:34.095325+00,3,1,ff7cd6c3-bd30-42e3-987e-3fafeaea72e9,0.97,379
140,2793,2025-04-08 06:10:08.071162+00,2025-04-08 06:10:08.07119+00,3,1,7b341d92-c6ef-4d5d-bf17-6551f9842b9f,0.87,321
141,2228,2025-04-08 06:23:18.710904+00,2025-04-08 06:23:18.710918+00,3,1,575e0431-1085-4d49-9191-86fd4695b554,0.79,282
142,2424,2025-04-08 06:27:08.774206+00,2025-04-08 06:27:08.77422+00,3,1,575e0431-1085-4d49-9191-86fd4695b554,0.8,303
143,3555,2025-04-08 07:49:43.800371+00,2025-04-08 07:49:43.800383+00,3,1,78d9548f-bbcf-4129-a8a7-e0a841a295b3,0.88,404
144,3386,2025-04-08 07:50:04.491869+00,2025-04-08 07:50:04.491883+00,3,1,318b4c0b-52f5-43c0-ad13-b41e1baf03c9,0.81,418
145,4028,2025-04-08 07:55:52.972437+00,2025-04-08 07:55:52.972451+00,3,1,522f3d6d-e633-426b-bf51-b50dee27ec96,0.95,424
146,3097,2025-04-08 07:55:55.323958+00,2025-04-08 07:55:55.323967+00,3,1,ed7db178-e6d4-4007-8bbe-cd6781641ae6,0.89,348
147,3754,2025-04-08 08:39:37.054412+00,2025-04-08 08:39:37.054426+00,3,1,6bdcd97d-6502-462a-84f1-b5d3afefa313,0.97,387
148,2834,2025-04-08 09:06:44.038321+00,2025-04-08 09:06:44.038335+00,3,1,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200,0.92,308
149,2821,2025-04-08 09:10:46.978298+00,2025-04-08 09:10:46.978312+00,3,1,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200,0.91,310
150,3729,2025-04-08 09:30:16.804544+00,2025-04-08 09:30:16.804559+00,3,1,683c0b43-1d2d-4e5a-b3ee-00de940a021c,0.89,419
151,3483,2025-04-08 09:30:41.669003+00,2025-04-08 09:30:41.669018+00,3,1,29a91abd-7963-46c8-96ff-3a074cf2d6f5,0.81,430
152,2594,2025-04-08 09:31:18.605919+00,2025-04-08 09:31:18.605928+00,3,1,eb06d3ea-4a70-462c-9f56-d5e1979eb96f,0.91,285
153,4572,2025-04-08 09:36:18.967478+00,2025-04-08 09:36:18.967488+00,3,1,5f19c80d-8883-42f3-9257-f9f899f703d9,0.9,508
154,4559,2025-04-09 00:12:18.604497+00,2025-04-09 00:12:18.604518+00,3,1,8c011ea6-b400-49f2-9db5-2c8ed2b5c3d2,0.94,485
155,2124,2025-04-09 00:17:57.565573+00,2025-04-09 00:17:57.565584+00,3,1,327e4006-267d-40b0-88bb-2c4e84cefcad,0.72,295
156,3558,2025-04-09 00:19:50.343429+00,2025-04-09 00:19:50.343441+00,3,1,78d9548f-bbcf-4129-a8a7-e0a841a295b3,0.87,409
157,4985,2025-04-09 00:53:50.578105+00,2025-04-09 00:53:50.57813+00,3,1,5f19c80d-8883-42f3-9257-f9f899f703d9,0.93,536
158,3846,2025-04-09 00:54:29.629869+00,2025-04-09 00:54:29.629877+00,3,1,9f27d136-09de-407f-b405-7120b2d55daa,0.88,437
159,3887,2025-04-09 00:55:26.73807+00,2025-04-09 00:55:26.738081+00,3,1,522f3d6d-e633-426b-bf51-b50dee27ec96,0.93,418
160,3144,2025-04-09 01:47:42.164654+00,2025-04-09 01:47:42.164666+00,3,1,29a91abd-7963-46c8-96ff-3a074cf2d6f5,0.79,398
161,2295,2025-04-09 01:52:01.592627+00,2025-04-09 01:52:01.592637+00,3,1,327e4006-267d-40b0-88bb-2c4e84cefcad,0.75,306
162,3184,2025-04-09 01:52:33.50483+00,2025-04-09 01:52:33.504841+00,3,1,29a91abd-7963-46c8-96ff-3a074cf2d6f5,0.8,398
163,3686,2025-04-09 01:57:39.882176+00,2025-04-09 01:57:39.88219+00,3,1,522f3d6d-e633-426b-bf51-b50dee27ec96,0.91,405
164,2677,2025-04-09 01:57:55.00818+00,2025-04-09 01:57:55.008191+00,3,1,eb06d3ea-4a70-462c-9f56-d5e1979eb96f,0.92,291
165,2786,2025-04-09 01:58:20.66896+00,2025-04-09 01:58:20.668973+00,3,1,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200,0.89,313
166,3130,2025-04-09 05:33:21.563549+00,2025-04-09 05:33:21.56356+00,3,1,99f7fcb9-8b5e-4cdd-a371-35d9c2a8a200,0.94,333
167,3403,2025-04-09 06:10:58.935771+00,2025-04-09 06:10:58.935785+00,3,1,ff7cd6c3-bd30-42e3-987e-3fafeaea72e9,0.91,374
168,2821,2025-04-09 07:56:00.44111+00,2025-04-09 07:56:00.441121+00,3,1,ed7db178-e6d4-4007-8bbe-cd6781641ae6,0.86,328
169,3458,2025-04-09 08:02:57.331198+00,2025-04-09 08:02:57.331207+00,3,1,318b4c0b-52f5-43c0-ad13-b41e1baf03c9,0.95,364
170,2317,2025-04-09 08:27:48.188178+00,2025-04-09 08:27:48.188188+00,3,1,7b341d92-c6ef-4d5d-bf17-6551f9842b9f,0.78,297
171,2786,2025-04-09 08:31:15.558865+00,2025-04-09 08:31:15.55888+00,3,1,7b341d92-c6ef-4d5d-bf17-6551f9842b9f,0.89,313
172,3762,2025-04-09 08:39:30.115515+00,2025-04-09 08:39:30.115526+00,3,1,683c0b43-1d2d-4e5a-b3ee-00de940a021c,0.9,418
173,3401,2025-04-09 08:41:25.100342+00,2025-04-09 08:41:25.100357+00,3,1,6bdcd97d-6502-462a-84f1-b5d3afefa313,0.95,358
174,3376,2025-04-09 08:43:18.497781+00,2025-04-09 08:43:18.497795+00,3,1,29a91abd-7963-46c8-96ff-3a074cf2d6f5,0.8,422
